(NADA).ET	(NNMT).ET	(NAMPT).ET	(NAMPT).Km	(NNMT).Km	Values[cell division rate]	[NAD]	(SIRT).Flux	(NAM import).v	[NAM]	[NMN]	(SIRT).ET	Values[scaling].InitialValue
10	10	0	5e-06	0.4	2.82828e-06	0.010349243999999999	0.0016274164	0.000758578	0.0037811	0.009667	10	0.001
10	10	0	5e-06	0.4	2.82828e-06	0.010843461	0.0016793274	0.000794328	0.00396106	0.010116	10	0.001
10	10	0	5e-06	0.4	2.82828e-06	0.011360443000000001	0.0017318398	0.000831764	0.00414967	0.0105856	10	0.001
10	10	0	5e-06	0.4	2.82828e-06	0.011901288	0.0017848936999999999	0.000870964	0.00434737	0.0110769	10	0.001
10	10	0	5e-06	0.4	2.82828e-06	0.012466994	0.0018383991000000001	0.000912011	0.00455459	0.0115908	10	0.001
10	10	0	5e-06	0.4	2.82828e-06	0.013058858999999999	0.0018923059999999998	0.000954993	0.0047718	0.0121284	10	0.001
10	10	0	5e-06	0.4	2.82828e-06	0.013677882	0.0019465145999999999	0.001	0.0049995	0.0126908	10	0.001

10	10	0	5e-06	0.4	2.96265e-06	-0.00012048299999999998	-2.7427e-05	1e-05	4.93834e-05	0.000129705	10	0.001
10	10	0	5e-06	0.4	2.96265e-06	-0.000114969	-2.6163800000000002e-05	1.04713e-05	5.17111e-05	0.000135816	10	0.001
10	10	0	5e-06	0.4	2.96265e-06	-0.00010909600000000001	-2.48192e-05	1.09648e-05	5.41485e-05	0.000142215	10	0.001
10	10	0	5e-06	0.4	2.96265e-06	-0.00010284900000000002	-2.3390200000000005e-05	1.14815e-05	5.67008e-05	0.000148915	10	0.001
